Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:08,1,80100DB80,11904,80A059840,42.18,US Dollar,42.18,US Dollar,Credit Card,0
2022/09/01 00:13,1,8012275D0,1,8012275D0,78061.55,US Dollar,78061.55,US Dollar,Reinvestment,0
2022/09/01 00:11,1,8012275D0,1467,801227620,8468.0,US Dollar,8468.0,US Dollar,ACH,0
2022/09/01 00:12,1,8012275D0,12,80141ED50,13818883.0,US Dollar,13818883.0,US Dollar,Cheque,0
2022/09/01 00:11,1,8012275D0,1686,8004169F0,9814809.87,US Dollar,9814809.87,US Dollar,ACH,0
2022/09/01 00:01,1,8012275D0,1047,800416A40,2782.0,US Dollar,2782.0,US Dollar,ACH,0
2022/09/01 00:16,1,8012275D0,1,8012275D0,4.62,US Dollar,4.62,US Dollar,Reinvestment,0
2022/09/01 00:21,1467,801227620,6156,802F2FD40,44.54,US Dollar,44.54,US Dollar,Credit Card,0
2022/09/01 00:28,12,80141ED50,23885,805DEB4F0,77.15,US Dollar,77.15,US Dollar,Credit Card,0
2022/09/01 00:19,1686,8004169F0,1047,80A0DDC70,6.28,US Dollar,6.28,US Dollar,Credit Card,0
2022/09/01 00:05,1047,800416A40,15723,8051B9F40,130.1,US Dollar,130.1,US Dollar,Credit Card,0
2022/09/01 00:27,3051,80152BF60,3051,80152BF60,11.77,US Dollar,11.77,US Dollar,Reinvestment,0
2022/09/01 00:25,1665,80152E780,15625,81173FE50,5.87,US Dollar,5.87,US Dollar,Credit Card,0
2022/09/01 00:14,11296,8016B82E0,11296,8016B82E0,756221.89,US Dollar,756221.89,US Dollar,Reinvestment,0
2022/09/01 00:11,23842,8016BA970,23842,8016BA970,24068.17,US Dollar,24068.17,US Dollar,Reinvestment,0
2022/09/01 00:18,11904,8016BC320,10,8016BBF40,106953.0,US Dollar,106953.0,US Dollar,ACH,0
2022/09/01 00:06,13327,8016BA470,2991,8016BBF90,25397.0,US Dollar,25397.0,US Dollar,ACH,0
2022/09/01 00:26,11904,8016BC320,11904,8016BC320,1282.15,US Dollar,1282.15,US Dollar,Reinvestment,0
2022/09/01 00:23,220,8016BC820,220,8016BC820,489.99,US Dollar,489.99,US Dollar,Reinvestment,0
2022/09/01 00:18,701,8016BBEA0,701,8016BBEA0,11.68,US Dollar,11.68,US Dollar,Reinvestment,0
2022/09/01 00:17,10,8016BBF40,24161,80DF7DCE0,149.35,US Dollar,149.35,US Dollar,Credit Card,0
2022/09/01 00:16,2991,8016BBF90,11904,8017A8630,97.86,US Dollar,97.86,US Dollar,Credit Card,0
2022/09/01 00:29,2845,8016BC370,2845,8016BC370,17.38,US Dollar,17.38,US Dollar,Reinvestment,0
2022/09/01 00:24,1244,8016CAB70,121303,80E2754A0,51.44,US Dollar,51.44,US Dollar,Credit Card,0
2022/09/01 00:08,1686,8018754D0,14804,80D120A40,46.3,US Dollar,46.3,US Dollar,Credit Card,0
2022/09/01 00:20,1068,801342560,1068,801342560,6.11,US Dollar,6.11,US Dollar,Reinvestment,0
2022/09/01 00:26,23833,8018859B0,23833,8018859B0,3231020.27,US Dollar,3231020.27,US Dollar,Reinvestment,0
2022/09/01 00:29,11904,801885E60,11904,801885E60,64631.85,US Dollar,64631.85,US Dollar,Reinvestment,0
2022/09/01 00:19,21258,801885EB0,21258,801885EB0,278.34,US Dollar,278.34,US Dollar,Reinvestment,0
2022/09/01 00:07,22345,8018A5860,22345,8018A5860,25.23,US Dollar,25.23,US Dollar,Reinvestment,0
2022/09/01 00:24,12735,8018A5A80,12735,8018A5A80,48609.72,US Dollar,48609.72,US Dollar,Reinvestment,0
2022/09/01 00:13,22828,8018A5CF0,22828,8018A5CF0,1445.91,US Dollar,1445.91,US Dollar,Reinvestment,0
2022/09/01 00:04,2439,801DC6C70,13037,8018A61B0,62787.0,US Dollar,62787.0,US Dollar,Cheque,0
2022/09/01 00:23,1362,8019FB070,1362,8019FB070,1511.0,US Dollar,1511.0,US Dollar,Reinvestment,0
2022/09/01 00:03,3242,801DC7400,3242,801DC7400,1266.68,US Dollar,1266.68,US Dollar,Reinvestment,0
2022/09/01 00:24,11904,801885E60,11904,801885E60,3.2,US Dollar,3.2,US Dollar,Reinvestment,0
2022/09/01 00:20,21174,801886770,226657,812B06600,32.2,US Dollar,32.2,US Dollar,Credit Card,0
2022/09/01 00:10,908,8018867C0,222363,80D454CA0,2.22,US Dollar,2.22,US Dollar,Credit Card,0
2022/09/01 00:10,22828,8018A5CF0,22828,8018A5CF0,18.28,US Dollar,18.28,US Dollar,Reinvestment,0
2022/09/01 00:03,23885,8018A6110,23885,8018A6110,6.05,US Dollar,6.05,US Dollar,Reinvestment,0
2022/09/01 00:04,13037,8018A61B0,226657,812B06600,39.48,US Dollar,39.48,US Dollar,Credit Card,0
2022/09/01 00:11,1362,8019FB070,1362,8019FB070,3.89,US Dollar,3.89,US Dollar,Reinvestment,0
2022/09/01 00:04,3420,801D9FF00,3420,801D9FF00,19.24,US Dollar,19.24,US Dollar,Reinvestment,0
2022/09/01 00:03,15768,8149656B0,15768,8149656B0,10.91,US Dollar,10.91,US Dollar,Reinvestment,0
2022/09/01 00:19,10,800042E70,10,800042E70,9.63,US Dollar,9.63,US Dollar,Reinvestment,0
2022/09/01 00:14,10,800043990,10,800043990,23.63,US Dollar,23.63,US Dollar,Reinvestment,0
2022/09/01 00:22,12,800054B70,12,800054B70,10.44,US Dollar,10.44,US Dollar,Reinvestment,0
2022/09/01 00:16,10,800052F90,10,800052F90,1111098.7,US Dollar,1111098.7,US Dollar,Reinvestment,0
2022/09/01 00:26,12,800043C00,12,800043C00,755.25,US Dollar,755.25,US Dollar,Cheque,0
2022/09/01 00:20,12,800043C00,12,800043C00,876.16,US Dollar,876.16,US Dollar,Credit Card,0
2022/09/01 00:03,1,800056160,1,800056160,5439.01,US Dollar,5439.01,US Dollar,Reinvestment,0
2022/09/01 00:04,1,800056370,1,800056370,14.6,US Dollar,14.6,US Dollar,Reinvestment,0
2022/09/01 00:20,10,800056660,10,800056660,4461.81,US Dollar,4461.81,US Dollar,Cheque,0
2022/09/01 00:03,10,800056660,10,800056660,1134.32,US Dollar,1134.32,US Dollar,Credit Card,0
2022/09/01 00:18,10,800056660,10,800056660,726.94,US Dollar,726.94,US Dollar,Cash,0
2022/09/01 00:12,10,800056660,10,800056660,297.27,US Dollar,297.27,US Dollar,ACH,0
2022/09/01 00:14,10,800056660,10,800056660,14.84,US Dollar,14.84,US Dollar,Reinvestment,0
2022/09/01 00:16,1,800056CB0,1,800056CB0,40939.45,US Dollar,40939.45,US Dollar,Reinvestment,0
2022/09/01 00:17,1,800056CB0,1,800056CB0,3.31,US Dollar,3.31,US Dollar,Reinvestment,0
2022/09/01 00:03,1,800057620,1,800057620,4.58,US Dollar,4.58,US Dollar,Reinvestment,0
2022/09/01 00:10,1,800057A10,1,800057A10,755232.33,US Dollar,755232.33,US Dollar,Reinvestment,0
2022/09/01 00:11,1,800057D40,1,800057D40,5.5,US Dollar,5.5,US Dollar,Reinvestment,0
2022/09/01 00:27,12,8000551B0,12,8000551B0,21.77,US Dollar,21.77,US Dollar,Reinvestment,0
2022/09/01 00:22,1,800058B80,1,800058B80,1028547.78,US Dollar,1028547.78,US Dollar,Reinvestment,0
2022/09/01 00:08,1,800058B80,1,800058B80,11.24,US Dollar,11.24,US Dollar,Reinvestment,0
2022/09/01 00:25,12,800059230,12,800059230,77285.26,US Dollar,77285.26,US Dollar,Reinvestment,0
2022/09/01 00:28,10,800059840,10,800059840,167.41,US Dollar,167.41,US Dollar,Cheque,0
2022/09/01 00:10,10,800059840,10,800059840,401.34,US Dollar,401.34,US Dollar,Cash,0
2022/09/01 00:03,1,800059C00,1,800059C00,212976.7,US Dollar,212976.7,US Dollar,Reinvestment,0
2022/09/01 00:29,10,800059F50,10,800059F50,86837.1,US Dollar,86837.1,US Dollar,Reinvestment,0
2022/09/01 00:25,70,100428660,10,800059F50,5105.92,US Dollar,5105.92,US Dollar,Cheque,0
2022/09/01 00:13,12,80005A2A0,12,80005A2A0,261681.48,US Dollar,261681.48,US Dollar,Reinvestment,0
2022/09/01 00:08,12,800055A70,12,800055A70,497338.05,US Dollar,497338.05,US Dollar,Reinvestment,0
2022/09/01 00:18,1,80005AB30,1,80005AB30,8.96,US Dollar,8.96,US Dollar,Reinvestment,0
2022/09/01 00:10,10,80005ADE0,10,80005ADE0,16314.97,US Dollar,16314.97,US Dollar,Reinvestment,0
2022/09/01 00:23,10,80005B110,10,80005B110,18.48,US Dollar,18.48,US Dollar,Reinvestment,0
2022/09/01 00:01,12,80005B5F0,12,80005B5F0,24.37,US Dollar,24.37,US Dollar,Reinvestment,0
2022/09/01 00:27,1,80005B9B0,1,80005B9B0,38143.57,US Dollar,38143.57,US Dollar,Reinvestment,0
2022/09/01 00:20,1,80005C0A0,1,80005C0A0,4735.15,US Dollar,4735.15,US Dollar,Reinvestment,0
2022/09/01 00:09,1,80005C790,1,80005C790,23.06,US Dollar,23.06,US Dollar,Reinvestment,0
2022/09/01 00:25,10,8000588D0,10,8000588D0,10.32,US Dollar,10.32,US Dollar,Reinvestment,0
2022/09/01 00:13,10,80005AD90,10,80005AD90,22.13,US Dollar,22.13,US Dollar,Reinvestment,0
2022/09/01 00:20,12,80005D3B0,12,80005D3B0,146758.59,US Dollar,146758.59,US Dollar,Reinvestment,0
2022/09/01 00:19,10,80005D980,10,80005D980,93309.02,US Dollar,93309.02,US Dollar,Reinvestment,0
2022/09/01 00:05,10,80005E100,10,80005E100,184.24,US Dollar,184.24,US Dollar,Cheque,0
2022/09/01 00:24,10,80005E100,10,80005E100,36.56,US Dollar,36.56,US Dollar,Cash,0
2022/09/01 00:08,12,80005E9C0,12,80005E9C0,172667.53,US Dollar,172667.53,US Dollar,Reinvestment,0
2022/09/01 00:17,1,8000EBF70,1,8000EBF70,30022.76,US Dollar,30022.76,US Dollar,Reinvestment,0
2022/09/01 00:02,1,80005AB30,1,8000EBF70,310.47,US Dollar,310.47,US Dollar,Cheque,0
2022/09/01 00:10,1,8000ECD10,1,8000ECD10,10227.22,US Dollar,10227.22,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8000ECD60,1,8000ECD60,462.12,US Dollar,462.12,US Dollar,Reinvestment,0
2022/09/01 00:11,10,8000ED4A0,10,8000ED4A0,436.68,US Dollar,436.68,US Dollar,Reinvestment,0
2022/09/01 00:29,12,8000ED150,12,8000ED150,9.82,US Dollar,9.82,US Dollar,Reinvestment,0
2022/09/01 00:23,1,8000EDBB0,1,8000EDBB0,30261.56,US Dollar,30261.56,US Dollar,Reinvestment,0
2022/09/01 00:13,1,8000EDBB0,1,8000EDBB0,14.62,US Dollar,14.62,US Dollar,Reinvestment,0
2022/09/01 00:16,10,8000F2A20,10,8000F2A20,19.29,US Dollar,19.29,US Dollar,Reinvestment,0
2022/09/01 00:29,10,8000F15A0,10,8000F15A0,72043.32,US Dollar,72043.32,US Dollar,Reinvestment,0
2022/09/01 00:28,1,800059440,1,800059440,13.94,US Dollar,13.94,US Dollar,Reinvestment,0
2022/09/01 00:20,12,8000F42A0,12,8000F42A0,524928.98,US Dollar,524928.98,US Dollar,Reinvestment,0
2022/09/01 00:28,1,8000F4D20,1,8000F4D20,55925.32,US Dollar,55925.32,US Dollar,Reinvestment,0
2022/09/01 00:24,1,8000F6110,1,8000F6110,14609.34,US Dollar,14609.34,US Dollar,Reinvestment,0
2022/09/01 00:00,10,8000F6850,10,8000F6850,99986.94,US Dollar,99986.94,US Dollar,Reinvestment,0
2022/09/01 00:27,1,8000F6B10,1,8000F6B10,1033.32,US Dollar,1033.32,US Dollar,Reinvestment,0
2022/09/01 00:01,1,8000F65C0,1,8000F65C0,10.46,US Dollar,10.46,US Dollar,Reinvestment,0
2022/09/01 00:03,1,8000F7850,1,8000F7850,8.55,US Dollar,8.55,US Dollar,Reinvestment,0
2022/09/01 00:29,10,80005CB50,10,8000F8070,562.3,US Dollar,562.3,US Dollar,Cheque,0
2022/09/01 00:07,10,80005CB50,10,8000F8070,1314.94,US Dollar,1314.94,US Dollar,ACH,0
2022/09/01 00:04,12,8000F8580,12,8000F8580,29117.33,US Dollar,29117.33,US Dollar,Reinvestment,0
2022/09/01 00:01,1,8000F8620,1,8000F8620,1383.6,US Dollar,1383.6,US Dollar,Reinvestment,0
2022/09/01 00:06,10,80005D160,10,80005D160,894762.11,US Dollar,894762.11,US Dollar,Reinvestment,0
2022/09/01 00:16,1,8000F7850,1,8001003A0,1544.01,US Dollar,1544.01,US Dollar,Cheque,0
2022/09/01 00:20,1,8000F7850,1,8001003A0,300.44,US Dollar,300.44,US Dollar,Cash,0
2022/09/01 00:01,1,8001003A0,1,8001003A0,10.35,US Dollar,10.35,US Dollar,Reinvestment,0
2022/09/01 00:12,12,800056E00,12,800056E00,139575.29,US Dollar,139575.29,US Dollar,Reinvestment,0
2022/09/01 00:13,10,800102DD0,28255,809AEB890,46.87,US Dollar,46.87,US Dollar,Credit Card,0
2022/09/01 00:06,10,800105730,10,800105730,261455.31,US Dollar,261455.31,US Dollar,Reinvestment,0
2022/09/01 00:08,10,800105D30,10,800105D30,1021418.64,US Dollar,1021418.64,US Dollar,Reinvestment,0
2022/09/01 00:08,10,800105D30,12,800105F00,236392988.0,US Dollar,236392988.0,US Dollar,Cheque,0
2022/09/01 00:15,10,800105D30,10,800105D30,19.8,US Dollar,19.8,US Dollar,Reinvestment,0
2022/09/01 00:09,12,800105F00,15085,808D68320,19.42,US Dollar,19.42,US Dollar,Credit Card,0
2022/09/01 00:07,12,8001068A0,12,8001068A0,15.45,US Dollar,15.45,US Dollar,Reinvestment,0
2022/09/01 00:08,12,800106D00,12,800106D00,1611778.05,US Dollar,1611778.05,US Dollar,Reinvestment,0
2022/09/01 00:27,3233,800106D50,12,800106D00,1384.46,US Dollar,1384.46,US Dollar,ACH,0
2022/09/01 00:22,1,8001093C0,1,8001093C0,29557.26,US Dollar,29557.26,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8001093C0,1,8001093C0,3.35,US Dollar,3.35,US Dollar,Reinvestment,0
2022/09/01 00:22,10,80010A2C0,10,80010A2C0,10794795.38,US Dollar,10794795.38,US Dollar,Reinvestment,0
2022/09/01 00:12,10,80010A750,10,80010A750,6.67,US Dollar,6.67,US Dollar,Reinvestment,0
2022/09/01 00:24,10,80010B040,10,80010B040,5.4,US Dollar,5.4,US Dollar,Reinvestment,0
2022/09/01 00:19,220,80010C2F0,220,80010C2F0,921588.24,US Dollar,921588.24,US Dollar,Reinvestment,0
2022/09/01 00:09,12,80010C340,12,80010C340,13774.9,US Dollar,13774.9,US Dollar,Reinvestment,0
2022/09/01 00:15,220,80010C2F0,220,80010C2F0,19.99,US Dollar,19.99,US Dollar,Reinvestment,0
2022/09/01 00:20,12,80010C340,12,80010C340,14.32,US Dollar,14.32,US Dollar,Reinvestment,0
2022/09/01 00:27,1,800056160,10,80010BFC0,22443.26,US Dollar,22443.26,US Dollar,Cheque,0
2022/09/01 00:02,1,800056160,10,80010BFC0,19821.49,US Dollar,19821.49,US Dollar,ACH,0
2022/09/01 00:04,1,80010C060,1,80010C060,21.9,US Dollar,21.9,US Dollar,Reinvestment,0
2022/09/01 00:16,10,80010C0B0,10,80010C0B0,20.89,US Dollar,20.89,US Dollar,Reinvestment,0
2022/09/01 00:27,10,80010BBD0,10,80010BBD0,187136.5,US Dollar,187136.5,US Dollar,Reinvestment,0
2022/09/01 00:04,3211,80010BD10,3211,80010BD10,10269.35,US Dollar,10269.35,US Dollar,Reinvestment,0
2022/09/01 00:27,10,80005CF10,10,80005CF10,140736.98,US Dollar,140736.98,US Dollar,Reinvestment,0
2022/09/01 00:28,1,80010F690,1,80010F690,6.93,US Dollar,6.93,US Dollar,Reinvestment,0
2022/09/01 00:27,12,80010F6E0,8595,8123576A0,39.77,US Dollar,39.77,US Dollar,Credit Card,0
2022/09/01 00:02,3246,800110820,3246,800110820,17871.79,US Dollar,17871.79,US Dollar,Reinvestment,0
2022/09/01 00:18,1,80010DEA0,1,80010DEA0,22.8,US Dollar,22.8,US Dollar,Reinvestment,0
2022/09/01 00:08,1,800111C30,1,800111C30,10.95,US Dollar,10.95,US Dollar,Reinvestment,0
2022/09/01 00:06,12,800108290,12,800108290,6648.19,US Dollar,6648.19,US Dollar,Reinvestment,0
2022/09/01 00:04,1,8001082E0,1,8001082E0,9690.68,US Dollar,9690.68,US Dollar,Reinvestment,0
2022/09/01 00:08,220,800111750,220,800111750,1372.15,US Dollar,1372.15,US Dollar,Reinvestment,0
2022/09/01 00:10,220,800111970,220,800111970,2328.95,US Dollar,2328.95,US Dollar,Reinvestment,0
2022/09/01 00:06,220,800109DF0,125906,80C2598A0,51.68,US Dollar,51.68,US Dollar,Credit Card,0
2022/09/01 00:29,1,8000EEF40,1,8000EEF40,9.09,US Dollar,9.09,US Dollar,Reinvestment,0
2022/09/01 00:12,1,8001117A0,1,8001117A0,10.36,US Dollar,10.36,US Dollar,Reinvestment,0
2022/09/01 00:07,220,800111970,220,800111970,14.28,US Dollar,14.28,US Dollar,Reinvestment,0
2022/09/01 00:05,12,800113FE0,12,800113FE0,102785.36,US Dollar,102785.36,US Dollar,Reinvestment,0
2022/09/01 00:01,12,800113FE0,12,800113FE0,16.23,US Dollar,16.23,US Dollar,Reinvestment,0
2022/09/01 00:18,1,8001142C0,1,8001142C0,8862.59,US Dollar,8862.59,US Dollar,Reinvestment,0
2022/09/01 00:12,12,80010F6E0,10,800113DC0,7103.39,US Dollar,7103.39,US Dollar,Cheque,0
2022/09/01 00:05,12,80010F6E0,10,800113DC0,342.34,US Dollar,342.34,US Dollar,Credit Card,0
2022/09/01 00:22,10,80005E380,10,8001146D0,6950.29,US Dollar,6950.29,US Dollar,Cheque,0
2022/09/01 00:02,10,80005E380,10,8001146D0,5477.99,US Dollar,5477.99,US Dollar,ACH,0
2022/09/01 00:11,10,800059840,1,800115570,199.59,US Dollar,199.59,US Dollar,Cheque,0
2022/09/01 00:07,10,800059840,1,800115570,330.13,US Dollar,330.13,US Dollar,Credit Card,0
2022/09/01 00:00,12,8001167D0,12,8001167D0,16.08,US Dollar,16.08,US Dollar,Reinvestment,0
2022/09/01 00:13,1,800042CB0,12,800117590,1037.24,US Dollar,1037.24,US Dollar,Cheque,0
2022/09/01 00:20,1,800042CB0,12,800117590,1367.69,US Dollar,1367.69,US Dollar,Credit Card,0
2022/09/01 00:28,220,800115860,220,800115860,3.53,US Dollar,3.53,US Dollar,Reinvestment,0
2022/09/01 00:25,12,8001193D0,12,8001193D0,215823.43,US Dollar,215823.43,US Dollar,Reinvestment,0
2022/09/01 00:24,10,800119810,10,800119810,23.94,US Dollar,23.94,US Dollar,Reinvestment,0
2022/09/01 00:06,220,800119BA0,220,800119BA0,484747.77,US Dollar,484747.77,US Dollar,Reinvestment,0
2022/09/01 00:27,10,80011AE70,10,80011AE70,9.85,US Dollar,9.85,US Dollar,Reinvestment,0
2022/09/01 00:06,1,80011B810,1,80011B810,24545.63,US Dollar,24545.63,US Dollar,Reinvestment,0
2022/09/01 00:22,1,80011A2A0,220,80011D000,40167.8,US Dollar,40167.8,US Dollar,Cheque,0
2022/09/01 00:17,1,80011A2A0,220,80011D000,27443.73,US Dollar,27443.73,US Dollar,Credit Card,0
2022/09/01 00:02,1,80011A2A0,220,80011D000,27374.91,US Dollar,27374.91,US Dollar,Cash,0
2022/09/01 00:27,10,80011CFB0,10,80011CFB0,23.08,US Dollar,23.08,US Dollar,Reinvestment,0
2022/09/01 00:22,220,80011D000,220,80011D000,4.76,US Dollar,4.76,US Dollar,Reinvestment,0
2022/09/01 00:26,10,80011BC60,10,80011BC60,257163.87,US Dollar,257163.87,US Dollar,Reinvestment,0
2022/09/01 00:01,1,80011BD50,1,80011BD50,1214.87,US Dollar,1214.87,US Dollar,Reinvestment,0
2022/09/01 00:18,10,80011BDF0,10,80011BDF0,86684.05,US Dollar,86684.05,US Dollar,Reinvestment,0
2022/09/01 00:27,220,8001195D0,220,8001195D0,1741.4,US Dollar,1741.4,US Dollar,Reinvestment,0
2022/09/01 00:22,12,80011B620,12,80011B620,11142.82,US Dollar,11142.82,US Dollar,Reinvestment,0
2022/09/01 00:22,10,80011DC60,10,80011DC60,940.02,US Dollar,940.02,US Dollar,Reinvestment,0
2022/09/01 00:14,10,80010B900,10,80011DA80,9655.21,US Dollar,9655.21,US Dollar,Cheque,0
2022/09/01 00:27,10,80010B900,10,80011DA80,2091.36,US Dollar,2091.36,US Dollar,Credit Card,0
2022/09/01 00:23,10,800119190,10,800119190,15.2,US Dollar,15.2,US Dollar,Reinvestment,0
2022/09/01 00:19,10,800126360,10,800126360,14.99,US Dollar,14.99,US Dollar,Reinvestment,0
2022/09/01 00:06,10,800126770,10,800126770,187.64,US Dollar,187.64,US Dollar,Reinvestment,0
2022/09/01 00:18,1,800126170,1,800126170,4.94,US Dollar,4.94,US Dollar,Reinvestment,0
